geoid,residential_landuse,commercial_landuse,industrial_landuse,retail_landuse,natural_landuse,road_residential,road_primary,road_other,transport_point,transport_area,food_point,food_area,health_point,health_area,education_point,education_area,retail_point,retail_area,total_population
53005010100,2.592642738009527,0.7853657886063105,0.132318458012465,6.237983336701996e-05,0.0,23.15366174651511,2.8158568088722964,26.538572918109782,39,0.1981146351560768,6,0.0011387503236701,1,0.0,3,0.4811207830116538,3,0.0,4684
53005010201,4.575656306906718,0.4070333824044838,4.424589306842974,0.0001142206045554,0.0,49.04924241921197,23.043529442189502,48.384037030227525,13,0.2497585210616055,2,0.0002634978857984,0,0.0,2,0.0748193089473234,18,0.0,6203
53005010203,1.2488008512331812,1.902194701691554,0.3595216552645024,0.0477880015099643,0.0,18.845468552028763,3.655071379321289,11.357957143487871,6,0.2393262629860716,2,0.0,0,0.0,1,0.0675324701505491,5,0.0,3975
53005010204,0.5234975113094784,0.0781866308699477,0.0,0.0102275538367763,0.0,3.9815761773437273,1.6916019559093105,2.4910398264265994,10,0.0919186192721475,2,0.0,1,0.0,1,0.1034320303613565,19,0.0,3236
53005010300,2.290320070395291,0.0818057720669037,0.0,0.0615127911765382,0.0,24.112362405605744,10.433589542968054,9.475145763956318,5,0.0562744197370919,1,0.0002103061100517,0,0.0,3,0.0901818943708126,10,0.0,5643
53005010400,1.1908348556430974,0.0308436800279474,0.0020214841500789,0.0049520110081724,0.0,19.33220225784543,0.0,5.371475623001738,12,0.0204977542869631,0,0.0,0,0.0,2,0.0616180559307563,1,0.0,3731
53005010500,0.7976420750964839,0.7975478733575961,0.0,0.0965345068531907,0.0,11.590354965398095,2.3382689860425883,13.033466009568436,47,0.4351759649641119,28,0.0029282362578499,12,0.064696723982604,6,0.2145388651808984,45,0.0,3154
53005010600,1.1565570415885875,0.7763414551262761,0.0660394050982843,0.1791867217107174,0.0,17.165508686514475,1.6375601322052635,18.070159063124184,39,0.2969424904801008,21,0.0077042855790314,2,0.0,7,0.2364934060457635,35,0.0,4551
53005010701,6.20027555906851,0.4256448156035196,0.0,0.039799928068055,0.0,26.896814021816528,10.246103105906952,29.11123095278612,0,0.0272494227822264,0,0.0,0,0.0,1,0.1287530127810384,1,0.0,2184
53005010703,6.641344826521671,0.1746846665533765,0.0644743923397598,0.0031528886991183,0.0,35.07556336796943,2.92138871267941,19.68117983144297,13,0.0134609052082596,4,0.0005277560249372,0,0.0,1,0.0581737650581625,5,0.0,3697
